grid_id, tile_id
40,-149|50
40,-149|51
40,-149|52
40,-149|53
40,-149|54
40,-148|50
40,-148|51
40,-148|52
40,-148|53
40,-148|54
40,-147|50
40,-147|51
40,-147|52
40,-147|53
40,-147|54
40,-146|50
40,-146|51
40,-146|52
40,-146|53
40,-146|54
41,-150|55
41,-150|56
41,-150|57
41,-150|58
41,-150|59
41,-149|55
41,-149|56
41,-149|57
41,-149|58
41,-149|59
41,-148|55
41,-148|56
41,-148|57
41,-148|58
41,-148|59
41,-147|55
41,-147|56
41,-147|57
41,-147|58
41,-147|59
41,-146|55
41,-146|56
41,-146|57
41,-146|58
41,-146|59
42,-150|60
42,-150|61
42,-150|62
42,-150|63
42,-150|64
42,-149|60
42,-149|61
42,-149|62
42,-149|63
42,-149|64
42,-148|60
42,-148|61
42,-148|62
42,-148|63
42,-148|64
42,-147|60
42,-147|61
42,-147|62
42,-147|63
42,-147|64
42,-146|60
42,-146|61
42,-146|62
42,-146|63
42,-146|64
43,-150|65
43,-150|66
43,-150|67
43,-150|68
43,-150|69
43,-149|65
43,-149|66
43,-149|67
43,-149|68
43,-149|69
43,-148|65
43,-148|66
43,-148|67
43,-148|68
43,-148|69
43,-147|65
43,-147|66
43,-147|67
43,-147|68
43,-147|69
43,-146|65
43,-146|66
43,-146|67
43,-146|68
43,-146|69
44,-150|70
44,-150|71
44,-150|72
44,-150|73
44,-150|74
44,-149|70
44,-149|71
44,-149|72
44,-149|73
44,-149|74
44,-148|70
44,-148|71
44,-148|72
44,-148|73
44,-148|74
44,-147|70
44,-147|71
44,-147|72
44,-147|73
44,-147|74
44,-146|70
44,-146|71
44,-146|72
44,-146|73
44,-146|74
45,-150|75
45,-150|76
45,-150|77
45,-150|78
45,-150|79
45,-149|75
45,-149|76
45,-149|77
45,-149|78
45,-149|79
45,-148|75
45,-148|76
45,-148|77
45,-148|78
45,-148|79
45,-147|75
45,-147|76
45,-147|77
45,-147|78
45,-147|79
45,-146|75
45,-146|76
45,-146|77
45,-146|78
45,-146|79
46,-150|80
46,-150|81
46,-150|82
46,-150|83
46,-150|84
46,-149|80
46,-149|81
46,-149|82
46,-149|83
46,-149|84
46,-148|80
46,-148|81
46,-148|82
46,-148|83
46,-148|84
46,-147|80
46,-147|81
46,-147|82
46,-147|83
46,-147|84
46,-146|80
46,-146|81
46,-146|82
46,-146|83
46,-146|84
47,-150|85
47,-150|86
47,-150|87
47,-150|88
47,-150|89
47,-149|85
47,-149|86
47,-149|87
47,-149|88
47,-149|89
47,-148|85
47,-148|86
47,-148|87
47,-148|88
47,-148|89
47,-147|85
47,-147|86
47,-147|87
47,-147|88
47,-147|89
47,-146|85
47,-146|86
47,-146|87
47,-146|88
47,-146|89
48,-150|90
48,-150|91
48,-150|92
48,-150|93
48,-150|94
48,-149|90
48,-149|91
48,-149|92
48,-149|93
48,-149|94
48,-148|90
48,-148|91
48,-148|92
48,-148|93
48,-148|94
48,-147|90
48,-147|91
48,-147|92
48,-147|93
48,-147|94
48,-146|90
48,-146|91
48,-146|92
48,-146|93
48,-146|94
49,-150|95
49,-150|96
49,-150|97
49,-150|98
49,-150|99
49,-149|95
49,-149|96
49,-149|97
49,-149|98
49,-149|99
49,-148|95
49,-148|96
49,-148|97
49,-148|98
49,-148|99
49,-147|95
49,-147|96
49,-147|97
49,-147|98
49,-147|99
49,-146|95
49,-146|96
49,-146|97
49,-146|98
49,-146|99
50,-150|100
50,-150|101
50,-150|102
50,-150|103
50,-150|104
50,-149|100
50,-149|101
50,-149|102
50,-149|103
50,-149|104
50,-148|100
50,-148|101
50,-148|102
50,-148|103
50,-148|104
50,-147|100
50,-147|101
50,-147|102
50,-147|103
50,-147|104
50,-146|100
50,-146|101
50,-146|102
50,-146|103
50,-146|104
51,-150|105
51,-150|106
51,-150|107
51,-150|108
51,-150|109
51,-149|105
51,-149|106
51,-149|107
51,-149|108
51,-149|109
51,-148|105
51,-148|106
51,-148|107
51,-148|108
51,-148|109
51,-147|105
51,-147|106
51,-147|107
51,-147|108
51,-147|109
51,-146|105
51,-146|106
51,-146|107
51,-146|108
51,-146|109
52,-150|110
52,-150|111
52,-150|112
52,-150|113
52,-150|114
52,-149|110
52,-149|111
52,-149|112
52,-149|113
52,-149|114
52,-148|110
52,-148|111
52,-148|112
52,-148|113
52,-148|114
52,-147|110
52,-147|111
52,-147|112
52,-147|113
52,-147|114
52,-146|110
52,-146|111
52,-146|112
52,-146|113
52,-146|114
53,-150|115
53,-150|116
53,-150|117
53,-150|118
53,-150|119
53,-149|115
53,-149|116
53,-149|117
53,-149|118
53,-149|119
53,-148|115
53,-148|116
53,-148|117
53,-148|118
53,-148|119
53,-147|115
53,-147|116
53,-147|117
53,-147|118
53,-147|119
53,-146|115
53,-146|116
53,-146|117
53,-146|118
53,-146|119
54,-150|120
54,-150|121
54,-150|122
54,-150|123
54,-150|124
54,-149|120
54,-149|121
54,-149|122
54,-149|123
54,-149|124
54,-148|120
54,-148|121
54,-148|122
54,-148|123
54,-148|124
54,-147|120
54,-147|121
54,-147|122
54,-147|123
54,-147|124
54,-146|120
54,-146|121
54,-146|122
54,-146|123
54,-146|124
55,-150|125
55,-150|126
55,-150|127
55,-150|128
55,-150|129
55,-149|125
55,-149|126
55,-149|127
55,-149|128
55,-149|129
55,-148|125
55,-148|126
55,-148|127
55,-148|128
55,-148|129
55,-147|125
55,-147|126
55,-147|127
55,-147|128
55,-147|129
55,-146|125
55,-146|126
55,-146|127
55,-146|128
55,-146|129
56,-150|130
56,-150|131
56,-150|132
56,-150|133
56,-150|134
56,-149|130
56,-149|131
56,-149|132
56,-149|133
56,-149|134
56,-148|130
56,-148|131
56,-148|132
56,-148|133
56,-148|134
56,-147|130
56,-147|131
56,-147|132
56,-147|133
56,-147|134
56,-146|130
56,-146|131
56,-146|132
56,-146|133
56,-146|134
57,-150|135
57,-150|136
57,-150|137
57,-150|138
57,-150|139
57,-149|135
57,-149|136
57,-149|137
57,-149|138
57,-149|139
57,-148|135
57,-148|136
57,-148|137
57,-148|138
57,-148|139
57,-147|135
57,-147|136
57,-147|137
57,-147|138
57,-147|139
57,-146|135
57,-146|136
57,-146|137
57,-146|138
57,-146|139
58,-150|140
58,-150|141
58,-150|142
58,-150|143
58,-150|144
58,-149|140
58,-149|141
58,-149|142
58,-149|143
58,-149|144
58,-148|140
58,-148|141
58,-148|142
58,-148|143
58,-148|144
58,-147|140
58,-147|141
58,-147|142
58,-147|143
58,-147|144
58,-146|140
58,-146|141
58,-146|142
58,-146|143
58,-146|144
59,-150|145
59,-150|146
59,-150|147
59,-150|148
59,-150|149
59,-150|150
59,-149|145
59,-149|146
59,-149|147
59,-149|148
59,-149|149
59,-149|150
59,-148|145
59,-148|146
59,-148|147
59,-148|148
59,-148|149
59,-148|150
59,-147|145
59,-147|146
59,-147|147
59,-147|148
59,-147|149
59,-147|150
59,-146|145
59,-146|146
59,-146|147
59,-146|148
59,-146|149
59,-146|150
60,-145|-150
60,-145|-149
60,-145|-148
60,-145|-147
60,-145|-146
60,-144|-150
60,-144|-149
60,-144|-148
60,-144|-147
60,-144|-146
60,-143|-150
60,-143|-149
60,-143|-148
60,-143|-147
60,-143|-146
60,-142|-150
60,-142|-149
60,-142|-148
60,-142|-147
60,-142|-146
60,-141|-150
60,-141|-149
60,-141|-148
60,-141|-147
60,-141|-146
61,-145|-145
61,-145|-144
61,-145|-143
61,-145|-142
61,-145|-141
61,-144|-145
61,-144|-144
61,-144|-143
61,-144|-142
61,-144|-141
61,-143|-145
61,-143|-144
61,-143|-143
61,-143|-142
61,-143|-141
61,-142|-145
61,-142|-144
61,-142|-143
61,-142|-142
61,-142|-141
61,-141|-145
61,-141|-144
61,-141|-143
61,-141|-142
61,-141|-141
62,-145|-140
62,-145|-139
62,-145|-138
62,-145|-137
62,-145|-136
62,-144|-140
62,-144|-139
62,-144|-138
62,-144|-137
62,-144|-136
62,-143|-140
62,-143|-139
62,-143|-138
62,-143|-137
62,-143|-136
62,-142|-140
62,-142|-139
62,-142|-138
62,-142|-137
62,-142|-136
62,-141|-140
62,-141|-139
62,-141|-138
62,-141|-137
62,-141|-136
63,-145|-135
63,-145|-134
63,-145|-133
63,-145|-132
63,-145|-131
63,-144|-135
63,-144|-134
63,-144|-133
63,-144|-132
63,-144|-131
63,-143|-135
63,-143|-134
63,-143|-133
63,-143|-132
63,-143|-131
63,-142|-135
63,-142|-134
63,-142|-133
63,-142|-132
63,-142|-131
63,-141|-135
63,-141|-134
63,-141|-133
63,-141|-132
63,-141|-131
64,-145|-130
64,-145|-129
64,-145|-128
64,-145|-127
64,-145|-126
64,-144|-130
64,-144|-129
64,-144|-128
64,-144|-127
64,-144|-126
64,-143|-130
64,-143|-129
64,-143|-128
64,-143|-127
64,-143|-126
64,-142|-130
64,-142|-129
64,-142|-128
64,-142|-127
64,-142|-126
64,-141|-130
64,-141|-129
64,-141|-128
64,-141|-127
